run_name,model,task_type,accuracy,precision,recall,f1
baseline,logistic_regression,classification,0.6111111111111112,0.6780864197530863,0.6111111111111112,0.6362524796601876
baseline,random_forest,classification,0.7222222222222222,0.7099952516619183,0.7222222222222222,0.7109812523524107
